start_ticks,channel,end_beats,end_s,end_ticks,key_signature,length_beats,length_s,length_ticks,note,start_beats,start_s,time_signature,track,velocity
0,1,3.8046875,1.654209640625,974,D,3.8046875,1.654209640625,974,66,0.0,0.0,4 4,Piano,34
1024,0,4.24609375,1.8461251328125,1087,D,4.24609375,0.1069971328124999,63,35,4.0,1.739128,4 4,Piano,36
1024,1,4.4921875,1.953122265625,1150,D,4.4921875,0.213994265625,126,23,4.0,1.739128,4 4,Piano,26
1152,0,4.74609375,2.0635161328125,1215,D,4.74609375,0.1069971328124999,63,37,4.5,1.9565190000000001,4 4,Piano,36
1280,0,5.24609375,2.2809071328125,1343,D,5.24609375,0.1069971328124999,63,38,5.0,2.1739100000000002,4 4,Piano,39
1280,1,5.4921875,2.387904265625,1406,D,5.4921875,0.2139942656249998,126,30,5.0,2.1739100000000002,4 4,Piano,40
1408,0,5.74609375,2.4982981328125,1471,D,5.74609375,0.1069971328124999,63,40,5.5,2.391301,4 4,Piano,39
1536,0,6.24609375,2.7156891328125,1599,D,6.24609375,0.1069971328124999,63,42,6.0,2.608692,4 4,Piano,53
1536,1,6.4921875,2.822686265625,1662,D,6.4921875,0.2139942656249998,126,23,6.0,2.608692,4 4,Piano,29
1664,0,6.74609375,2.9330801328125,1727,D,6.74609375,0.1069971328124999,63,38,6.5,2.826083,4 4,Piano,29
1792,0,7.4921875,3.257468265625,1918,D,7.4921875,0.21399426562500024,126,42,7.0,3.043474,4 4,Piano,37
1792,1,7.4921875,3.257468265625,1918,D,7.4921875,0.21399426562500024,126,30,7.0,3.043474,4 4,Piano,42
2048,0,8.24609375,3.5852531328125,2111,D,8.24609375,0.1069971328124999,63,41,8.0,3.478256,4 4,Piano,50
2048,1,8.4921875,3.692250265625,2174,D,8.4921875,0.2139942656249998,126,23,8.0,3.478256,4 4,Piano,32
2176,0,8.74609375,3.8026441328125,2239,D,8.74609375,0.1069971328124999,63,37,8.5,3.695647,4 4,Piano,29
2304,0,9.4921875,4.127032265625,2430,D,9.4921875,0.2139942656249998,126,41,9.0,3.9130380000000002,4 4,Piano,38
2304,1,9.4921875,4.127032265625,2430,D,9.4921875,0.2139942656249998,126,30,9.0,3.9130380000000002,4 4,Piano,38
2560,0,10.24609375,4.4548171328125,2623,D,10.24609375,0.10699713281249945,63,40,10.0,4.3478200000000005,4 4,Piano,49
2560,1,10.4921875,4.561814265625,2686,D,10.4921875,0.2139942656249998,126,23,10.0,4.3478200000000005,4 4,Piano,28
2688,0,10.74609375,4.6722081328125,2751,D,10.74609375,0.10699713281250034,63,36,10.5,4.565211,4 4,Piano,32
2816,0,11.4921875,4.996596265625,2942,D,11.4921875,0.2139942656249998,126,40,11.0,4.782602,4 4,Piano,38
2816,1,11.4921875,4.996596265625,2942,D,11.4921875,0.2139942656249998,126,30,11.0,4.782602,4 4,Piano,41
3072,0,12.24609375,5.3243811328125,3135,D,12.24609375,0.10699713281250034,63,35,12.0,5.217384,4 4,Piano,33
3072,1,12.4921875,5.431378265625,3198,D,12.4921875,0.2139942656249998,126,23,12.0,5.217384,4 4,Piano,33
3200,0,12.74609375,5.5417721328125,3263,D,12.74609375,0.10699713281249945,63,37,12.5,5.434775,4 4,Piano,36
3328,0,13.24609375,5.7591631328125,3391,D,13.24609375,0.10699713281249945,63,38,13.0,5.652166,4 4,Piano,37
3328,1,13.4921875,5.866160265625,3454,D,13.4921875,0.2139942656249998,126,30,13.0,5.652166,4 4,Piano,39
3456,0,13.74609375,5.9765541328125,3519,D,13.74609375,0.10699713281249945,63,40,13.5,5.869557,4 4,Piano,38
3584,0,14.24609375,6.1939451328125,3647,D,14.24609375,0.10699713281250034,63,42,14.0,6.086948,4 4,Piano,42
3584,1,14.4921875,6.300942265625,3710,D,14.4921875,0.21399426562500068,126,23,14.0,6.086948,4 4,Piano,29
3712,0,14.74609375,6.4113361328125,3775,D,14.74609375,0.10699713281250034,63,38,14.5,6.304339,4 4,Piano,32
3840,0,15.24609375,6.6287271328125,3903,D,15.24609375,0.10699713281250034,63,42,15.0,6.52173,4 4,Piano,42
3840,1,15.4921875,6.735724265625,3966,D,15.4921875,0.2139942656249998,126,30,15.0,6.52173,4 4,Piano,42
3968,0,15.74609375,6.8461181328125,4031,D,15.74609375,0.10699713281250034,63,47,15.5,6.739121,4 4,Piano,39
4096,0,16.24609375,7.0635091328125,4159,D,16.24609375,0.10699713281250034,63,45,16.0,6.956512,4 4,Piano,34
4096,1,16.4921875,7.170506265625,4222,D,16.4921875,0.2139942656249998,126,26,16.0,6.956512,4 4,Piano,33
4224,0,16.74609375,7.2809001328125,4287,D,16.74609375,0.10699713281249945,63,42,16.5,7.173903,4 4,Piano,29
4352,0,17.24609375,7.4982911328125,4415,D,17.24609375,0.10699713281249945,63,38,17.0,7.391294,4 4,Piano,35
4352,1,17.4921875,7.605288265625,4478,D,17.4921875,0.2139942656249998,126,33,17.0,7.391294,4 4,Piano,40
4480,0,17.74609375,7.7156821328125,4543,D,17.74609375,0.10699713281249945,63,42,17.5,7.608685,4 4,Piano,39
4608,0,19.8046875,8.610721640625,5070,D,19.8046875,0.7846456406249995,462,45,18.0,7.8260760000000005,4 4,Piano,53
4608,1,18.4921875,8.040070265625,4734,D,18.4921875,0.2139942656249989,126,26,18.0,7.8260760000000005,4 4,Piano,31
4864,1,19.4921875,8.474852265625,4990,D,19.4921875,0.2139942656249989,126,33,19.0,8.260858,4 4,Piano,41
5120,0,20.24609375,8.8026371328125,5183,D,20.24609375,0.10699713281249856,63,47,20.0,8.695640000000001,4 4,Piano,55
5120,1,20.4921875,8.909634265625,5246,D,20.4921875,0.2139942656249989,126,23,20.0,8.695640000000001,4 4,Piano,31
5248,0,20.74609375,9.0200281328125,5311,D,20.74609375,0.10699713281250034,63,49,20.5,8.913031,4 4,Piano,51
5376,0,21.24609375,9.2374191328125,5439,D,21.24609375,0.10699713281250034,63,50,21.0,9.130422,4 4,Piano,54
5376,1,21.4921875,9.344416265625,5502,D,21.4921875,0.21399426562500068,126,30,21.0,9.130422,4 4,Piano,38
5504,0,21.74609375,9.4548101328125,5567,D,21.74609375,0.10699713281250034,63,52,21.5,9.347813,4 4,Piano,51
5632,0,22.24609375,9.6722011328125,5695,D,22.24609375,0.10699713281250034,63,54,22.0,9.565204,4 4,Piano,55
5632,1,22.4921875,9.779198265625,5758,D,22.4921875,0.21399426562500068,126,23,22.0,9.565204,4 4,Piano,29
5760,0,22.74609375,9.8895921328125,5823,D,22.74609375,0.10699713281249856,63,50,22.5,9.782595,4 4,Piano,30
5888,0,23.4921875,10.213980265625,6014,D,23.4921875,0.21399426562500068,126,54,23.0,9.999986,4 4,Piano,38
