measure,note_type,pitch,articulation,accent,dynamic
1,d,0,s,n,f
2,d,0,s,n,f
3,d,0,s,n,f
4,d,0,s,n,f
5,b,1,s,n,f
5,b,6,t,n,f
5,b,6,t,n,f
6,b,6,n,y,f
6,a,8,n,n,f
6,a,6,n,n,f
6,a,5,n,n,f
6,a,6,n,n,f
7,b,1,s,n,f
7,b,8,t,n,f
7,b,8,t,n,f
8,c,8,n,y,f
8,b,11,n,n,f
9,a,10,n,n,f
9,a,11,n,n,f
9,b,1,n,n,f
9,b,10,n,n,f
10,a,6,n,n,f
10,a,8,n,n,f
10,b,10,n,n,f
10,b,6,n,n,f
11,a,3,n,n,f
11,a,5,n,n,f
11,b,6,n,n,f
11,b,8,n,n,f
12,a,8,n,y,f
12,a,6,n,n,f
12,a,5,n,n,f
12,a,3,n,n,f
12,b,1,n,n,f
13,b,1,s,n,f
13,b,6,t,n,f
13,b,6,t,n,f
14,b,6,n,y,f
14,a,8,n,n,f
14,a,6,n,n,f
14,a,5,n,n,f
14,a,6,n,n,f
15,b,3,s,n,f
15,b,8,t,n,f
15,b,8,t,n,f
16,c,8,n,y,f
16,b,6,n,n,f
17,b,5,n,n,f
17,a,5,n,n,f
17,a,3,n,n,f
17,a,1,n,n,f
17,a,12,n,n,f
18,b,10,n,n,f
18,a,6,n,n,f
18,a,5,n,n,f
18,a,4,n,n,f
18,a,1,n,n,f
19,b,3,n,n,f
19,b,12,n,n,f
19,b,5,n,n,f
20,b,10,n,n,f
20,b,0,n,n,f
20,b,0,n,n,f
21,c,10,s,n,mf
21,b,1,n,n,mf
22,c,6,s,n,mf
22,b,1,n,n,mf
23,a,11,s,n,mf
23,a,10,n,n,mf
23,b,8,n,n,mf
23,b,11,n,n,mf
24,b,3,s,n,mf
24,a,1,s,n,mf
24,a,11,n,n,mf
24,b,10,n,n,mf
25,c,11,s,n,mf
25,b,2,n,n,mf
26,c,7,s,n,mf
26,b,2,n,n,mf
27,a,12,s,n,mf
27,a,11,n,n,mf
27,b,9,n,n,mf
27,b,12,n,n,mf
28,b,4,s,n,mf
28,a,2,s,n,mf
28,a,12,n,n,mf
28,b,11,n,n,mf
29,b,11,t,n,mf
29,a,9,t,n,mf
29,a,7,t,n,mf
29,a,9,t,n,mf
29,a,6,t,n,mf
30,b,7,t,n,mf
30,b,2,t,n,mf
30,b,11,t,n,mf
31,b,3,t,n,mf
31,a,2,t,n,mf
31,a,12,t,n,mf
31,a,2,t,n,mf
31,a,11,t,n,mf
32,b,12,t,n,mf
32,b,7,t,n,mf
32,b,3,t,n,mf
33,d,2,n,y,mf
34,d,2,n,y,mf
35,d,2,s,y,mf
36,c,2,s,n,mf
36,b,1,n,n,mf
37,b,1,s,n,mf
37,b,6,t,n,mf
37,b,6,t,n,mf
38,b,6,n,y,f
38,a,8,n,n,f
38,a,6,n,n,f
38,a,5,n,n,f
38,a,6,n,n,f
39,b,1,s,n,f
39,b,8,t,n,f
39,b,8,t,n,f
40,c,8,n,y,f
40,b,11,n,n,f
41,a,10,n,n,f
41,a,11,n,n,f
41,b,1,n,n,f
41,b,10,n,n,f
42,a,6,n,n,f
42,a,8,n,n,f
42,b,10,n,n,f
42,b,6,n,n,f
43,a,3,n,n,f
43,a,5,n,n,f
43,b,6,n,n,f
43,b,8,n,n,f
44,a,8,n,y,f
44,a,6,n,n,f
44,a,5,n,n,f
44,a,3,n,n,f
44,b,1,n,n,f
45,b,1,s,n,ff
45,b,4,t,n,ff
45,b,4,t,n,ff
46,b,4,n,y,ff
46,a,6,n,n,ff
46,a,4,n,n,ff
46,a,3,n,n,ff
46,a,4,n,n,ff
47,b,3,t,n,ff
47,a,11,n,n,ff
47,a,1,n,n,ff
47,a,3,n,n,ff
47,a,5,n,n,ff
48,a,6,n,n,ff
48,a,8,n,n,ff
48,a,10,n,n,ff
48,a,11,n,n,ff
48,a,1,n,n,ff
48,a,3,n,n,ff
49,c,5,n,y,ff
49,b,6,n,n,ff
50,c,1,n,y,ff
50,b,3,n,n,ff
51,a,8,t,n,ff
51,a,7,t,n,ff
51,b,8,t,n,ff
51,b,1,t,y,ff
52,b,6,t,y,ff
52,b,0,n,n,ff
52,b,0,n,n,ff
